,XOM,CVX,COP,OXY,LNG,VG,FRO,STNG,ET,BIL,WTI,Brent
XOM,1.0,0.8499691305584128,0.813686098159934,0.7388460696327518,0.41172266952018305,0.34339342778037996,0.2639539765296558,0.3056082216762141,0.47279699827564525,0.009873100430450471,0.5453649390102959,0.4701054379804179
CVX,0.8499691305584128,1.0,0.8259286326496518,0.748355208463396,0.45255763752023465,0.32407090788137644,0.27360604195847293,0.2665251108186791,0.5048969024184982,-0.03955455583377075,0.4905969622914988,0.4309055479489964
COP,0.813686098159934,0.8259286326496518,1.0,0.8192191136867881,0.48497689103858144,0.4185590468099433,0.2572996756549719,0.27909108206430283,0.5693708832925222,-0.04548021539057932,0.5599518884050416,0.4867245881691604
OXY,0.7388460696327518,0.748355208463396,0.8192191136867881,1.0,0.4273064661082081,0.3903254246733557,0.26085830358975665,0.28479878695909383,0.48681097517429456,0.004794744068432317,0.5776813972024053,0.4953462649533043
LNG,0.41172266952018305,0.45255763752023465,0.48497689103858144,0.4273064661082081,1.0,0.443032252152041,0.2955755117052772,0.27095219179500313,0.564309870893802,-0.01447630087844279,0.35494388211204403,0.282967774350668
VG,0.34339342778037996,0.32407090788137644,0.4185590468099433,0.3903254246733557,0.443032252152041,1.0,0.14364532092561663,0.17047000900258746,0.5026667381220933,0.005121232548523215,0.36619912314528347,0.3756426013775774
FRO,0.2639539765296558,0.27360604195847293,0.2572996756549719,0.26085830358975665,0.2955755117052772,0.14364532092561663,1.0,0.7542293167314824,0.26774194248079614,0.04415009618310091,0.10837789662080742,0.08443199079599246
STNG,0.3056082216762141,0.2665251108186791,0.27909108206430283,0.28479878695909383,0.27095219179500313,0.17047000900258746,0.7542293167314824,1.0,0.2097939713860043,0.05121543352689565,0.1132680097089653,0.10096345697716418
ET,0.47279699827564525,0.5048969024184982,0.5693708832925222,0.48681097517429456,0.564309870893802,0.5026667381220933,0.26774194248079614,0.2097939713860043,1.0,-0.06302439823734522,0.3516057490467628,0.24993935758991317
BIL,0.009873100430450471,-0.03955455583377075,-0.04548021539057932,0.004794744068432317,-0.01447630087844279,0.005121232548523215,0.04415009618310091,0.05121543352689565,-0.06302439823734522,1.0,0.061612606772993926,0.061795728244419354
WTI,0.5453649390102959,0.4905969622914988,0.5599518884050416,0.5776813972024053,0.35494388211204403,0.36619912314528347,0.10837789662080742,0.1132680097089653,0.3516057490467628,0.061612606772993926,1.0,0.8552590107462295
Brent,0.4701054379804179,0.4309055479489964,0.4867245881691604,0.4953462649533043,0.282967774350668,0.3756426013775774,0.08443199079599246,0.10096345697716418,0.24993935758991317,0.061795728244419354,0.8552590107462295,1.0
