,cum_ret,ann_vol,n_days,sharpe,best_day,worst_day
XOM,0.05370493404200838,0.28161210000285974,24.0,1.8372110185930017,0.03305700704104683,-0.05375949265714517
CVX,0.06537806314521077,0.26164283179779974,24.0,2.4195660493859146,0.029096425178650364,-0.04695275242330724
COP,0.15036140777056484,0.275679495337427,24.0,5.219465759881468,0.04126609530373249,-0.027807268668680447
OXY,0.19195523035885453,0.35066472929224435,24.0,5.166894325398364,0.04966364818101303,-0.04355007867050726
LNG,0.19272052245349003,0.4191101368096151,24.0,4.339162376654855,0.05712291521330031,-0.03520398040360954
VG,0.5129147883950909,1.0316088084145938,24.0,4.183271951018552,0.16076304704946567,-0.0809111301686329
FRO,-0.00498004146231934,0.5831673284878497,24.0,-0.14459155958528208,0.0532297754455243,-0.0646395446694841
STNG,-0.027953733785293533,0.4922280940365078,24.0,-0.6695975077589569,0.06092421969339414,-0.0830731038632531
ET,0.004777078124149181,0.1743842955607514,24.0,0.10402251499031383,0.02429273425972597,-0.015722791784721718
BIL,0.0033610319747277018,0.0018146749127290133,24.0,1.8359549975549032,0.00032781717127281586,-0.00010910931636456711
