,Gaussian,Historical,Cornish-Fisher,CVaR
XOM,0.031599911484768574,0.029265538304648307,0.030728778212050067,0.04516439893858429
CVX,0.03291319866715117,0.026836521210561168,0.028163759927289114,0.04657104490862918
COP,0.041627069290789215,0.03529292345745271,0.03786677058608546,0.0587800402841683
OXY,0.05999936495201481,0.04851525404959893,0.021170319424740573,0.08018358969376478
LNG,0.03398889110547302,0.03004187956929311,0.03486193373507264,0.049148324933053204
VG,0.09742893033337037,0.0810098772042107,0.10890628019731316,0.14832919556571286
FRO,0.05454350121320533,0.04967065550540808,0.05030974404472734,0.07465202916086876
STNG,0.05667646103888794,0.05343743808694694,0.0536181904266949,0.08010264524057224
ET,0.03656358999772811,0.02993137819881975,0.033183881441025756,0.05289300779016493
BIL,0.00015698601226899937,0.00010947049915984607,0.00011586941789214725,0.0001555847535251977
